"school","university"
"ΓΕΩΠΟΝΙΑΣ, ΙΧΘΥΟΛΟΓΙΑΣ ΚΑΙ ΥΔΑΤΙΝΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΒΟΛΟΣ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΓΕΩΠΟΝΙΑΣ, ΦΥΤΙΚΗΣ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΑΓΡΟΤΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΒΟΛΟΣ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΔΙΑΧΕΙΡΙΣΗΣ ΠΕΡΙΒΑΛΛΟΝΤΟΣ & ΦΥΣΙΚΩΝ ΠΟΡΩΝ (ΑΓΡΙΝΙΟ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΕΠΙΣΤΗΜΗΣ ΔΙΑΙΤΟΛΟΓΙΑΣ & ΔΙΑΤΡΟΦΗΣ (ΑΘΗΝΑ)","ΧΑΡΟΚΟΠΕΙΟ"
"ΕΠΙΣΤΗΜΗΣ ΖΩΙΚΗΣ ΠΑΡΑΓΩΓΗΣ & ΥΔΑΤΟΚΑΛΛΙΕΡΓΕΙΩΝ (ΑΘΗΝΑ)","ΓΕΩΠΟΝΙΚΟ ΠΑΝ."
"ΕΠΙΣΤΗΜΗΣ ΤΡΟΦΙΜΩΝ & ΔΙΑΤΡΟΦΗΣ (ΛΗΜΝΟΣ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΕΠΙΣΤΗΜΗΣ ΤΡΟΦΙΜΩΝ ΚΑΙ ΔΙΑΤΡΟΦΗΣ ΤΟΥ ΑΝΘΡΩΠΟΥ (ΑΘΗΝΑ)","ΓΕΩΠΟΝΙΚΟ ΠΑΝ."
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΚΟΜΟΤΗΝΗ)","ΔΠΘ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΣΕΡΡΕΣ)","ΑΠΘ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΤΡΙΚΑΛΑ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΤΙΚΗΣ ΠΑΡΑΓΩΓΗΣ (ΑΘΗΝΑ)","ΓΕΩΠΟΝΙΚΟ ΠΑΝ."
"ΙΑΤΡΙΚΗΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΙΑΤΡΙΚΗΣ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ)","ΔΠΘ"
"ΙΑΤΡΙΚΗΣ (ΗΡΑΚΛΕΙΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΙΑΤΡΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΙΑΤΡΙΚΗΣ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΙΑΤΡΙΚΗΣ (ΛΑΡΙΣΑ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΙΑΤΡΙΚΗΣ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΚΙΝΗΜΑΤΟΓΡΑΦΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΚΤΗΝΙΑΤΡΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΚΤΗΝΙΑΤΡΙΚΗΣ (ΚΑΡΔΙΤΣΑ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΜΕΘΟΔΟΛΟΓΙΑΣ, ΙΣΤΟΡΙΑΣ & ΘΕΩΡΙΑΣ ΤΗΣ ΕΠΙΣΤΗΜΗΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΜΟΡΙΑΚΗΣ ΒΙΟΛΟΓΙΑΣ & ΓΕΝΕΤΙΚΗΣ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ)","ΔΠΘ"
"ΜΟΥΣΙΚΗΣ ΕΠΙΣΤΗΜΗΣ & ΤΕΧΝΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΠΑΝ.ΜΑΚΕΔ."
"ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΚΕΡΚΥΡΑ)","ΙΟΝΙΟ ΠΑΝ/ΜΙΟ"
"ΝΟΣΗΛΕΥΤΙΚΗΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΝΟΣΗΛΕΥΤΙΚΗΣ (ΣΠΑΡΤΗ)","ΠΑΝ.ΠΕΛ/ΝΗΣΟΥ"
"ΟΔΟΝΤΙΑΤΡΙΚΗΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΟΔΟΝΤΙΑΤΡΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΠΛΗΡΟΦΟΡΙΚΗΣ ΜΕ ΕΦΑΡΜΟΓΕΣ ΣΤΗ ΒΙΟΙΑΤΡΙΚΗ (ΛΑΜΙΑ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΤΕΧΝΩΝ ΗΧΟΥ & ΕΙΚΟΝΑΣ (ΚΕΡΚΥΡΑ)","ΙΟΝΙΟ ΠΑΝ/ΜΙΟ"
"ΦΑΡΜΑΚΕΥΤΙΚΗΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΦΑΡΜΑΚΕΥΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΦΑΡΜΑΚΕΥΤΙΚΗΣ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
,
"ΣΤΡΑΤΙΩΤΙΚΕΣ ΣΧΟΛΕΣ","  "
"ΑΞΙΩΜΑΤΙΚΩΝ ΝΟΣΗΛΕΥΤΙΚΗΣ (ΣΑΝ)        ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΙΑΤΡΙΚΟ (ΣΣΑΣ) ΘΕΣ/ΝΙΚΗΣ                        ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΚΤΗΝΙΑΤΡΙΚΟ (ΣΣΑΣ) ΘΕΣ/ΝΙΚΗΣ              ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΟΔΟΝΤΙΑΤΡΙΚΟ (ΣΣΑΣ) ΘΕΣ/ΝΙΚΗΣ              ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΦΑΡΜΑΚΕΥΤΙΚΟ (ΣΣΑΣ) ΘΕΣ/ΝΙΚΗΣ          ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
,
"ΤΕΙ","  "
"ΑΙΣΘΗΤΙΚΗΣ & ΚΟΣΜΗΤΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΑΙΣΘΗΤΙΚΗΣ & ΚΟΣΜΗΤΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΔΗΜΟΣΙΑΣ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΟΤΙΚΗΣ ΥΓΕΙΑΣ (ΑΘΗΝΑ) - ΔΗΜΟΣΙΑΣ ΥΓΕΙΑΣ","ΤΕΙ ΑΘΗΝΑΣ"
"ΔΗΜΟΣΙΑΣ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΟΤΙΚΗΣ ΥΓΕΙΑΣ (ΑΘΗΝΑ) - ΚΟΙΝΟΤΙΚΗΣ ΥΓΕΙΑΣ","ΤΕΙ ΑΘΗΝΑΣ"
"ΔΙΑΤΡΟΦΗΣ & ΔΙΑΙΤΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΔΙΑΤΡΟΦΗΣ & ΔΙΑΙΤΟΛΟΓΙΑΣ (ΚΑΡΔΙΤΣΑ)","ΤΕΙ ΘΕΣΣΑΛΙΑΣ"
"ΔΙΑΤΡΟΦΗΣ & ΔΙΑΙΤΟΛΟΓΙΑΣ (ΣΗΤΕΙΑ)","ΤΕΙ ΚΡΗΤΗΣ"
"ΕΡΓΟΘΕΡΑΠΕΙΑΣ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΙΑΤΡΙΚΩΝ ΕΡΓΑΣΤΗΡΙΩΝ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΙΑΤΡΙΚΩΝ ΕΡΓΑΣΤΗΡΙΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΙΑΤΡΙΚΩΝ ΕΡΓΑΣΤΗΡΙΩΝ (ΛΑΡΙΣΑ)","ΤΕΙ ΘΕΣΣΑΛΙΑΣ"
"ΛΑΙΚΗΣ & ΠΑΡΑΔΟΣΙΑΚΗΣ ΜΟΥΣΙΚΗΣ (ΑΡΤΑ)","ΤΕΙ ΗΠΕΙΡΟΥ"
"ΛΟΓΟΘΕΡΑΠΕΙΑΣ (ΙΩΑΝΝΙΝΑ)","ΤΕΙ ΗΠΕΙΡΟΥ"
"ΛΟΓΟΘΕΡΑΠΕΙΑΣ (ΠΑΤΡΑ)","ΤΕΙ ΔΥΤ.ΕΛΛΑΔΑΣ"
"ΜΑΙΕΥΤΙΚΗΣ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΜΑΙΕΥΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΜΑΙΕΥΤΙΚΗΣ (ΠΤΟΛΕΜΑΪΔΑ)","ΤΕΙ ΔΥΤ.ΜΑΚ."
"ΝΟΣΗΛΕΥΤΙΚΗΣ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΝΟΣΗΛΕΥΤΙΚΗΣ (ΔΙΔΥΜΟΤΕΙΧΟ)","ΤΕΙ ΑΝ.ΜΑΚ.ΘΡΑΚΗΣ"
"ΝΟΣΗΛΕΥΤΙΚΗΣ (ΗΡΑΚΛΕΙΟ)","ΤΕΙ ΚΡΗΤΗΣ"
"ΝΟΣΗΛΕΥΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΝΟΣΗΛΕΥΤΙΚΗΣ (ΙΩΑΝΝΙΝΑ)","ΤΕΙ ΗΠΕΙΡΟΥ"
"ΝΟΣΗΛΕΥΤΙΚΗΣ (ΛΑΜΙΑ)","ΤΕΙ ΣΤ.ΕΛΛΑΔΑΣ"
"ΝΟΣΗΛΕΥΤΙΚΗΣ (ΛΑΡΙΣΑ)","ΤΕΙ ΘΕΣΣΑΛΙΑΣ"
"ΝΟΣΗΛΕΥΤΙΚΗΣ (ΠΑΤΡΑ)","ΤΕΙ ΔΥΤ.ΕΛΛΑΔΑΣ"
"ΟΔΟΝΤΙΚΗΣ ΤΕΧΝΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΟΠΤΙΚΗΣ ΚΑΙ ΟΠΤΟΜΕΤΡΙΑΣ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΡΑΔΙΟΛΟΓΙΑΣ ΚΑΙ ΑΚΤΙΝΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΤΕΧΝΟΛΟΓΩΝ ΓΕΩΠΟΝΩΝ (ΑΜΑΛΙΑΔΑ)","ΤΕΙ ΔΥΤ.ΕΛΛΑΔΑΣ"
"ΤΕΧΝΟΛΟΓΩΝ ΓΕΩΠΟΝΩΝ (ΑΡΤΑ)","ΤΕΙ ΗΠΕΙΡΟΥ"
"ΤΕΧΝΟΛΟΓΩΝ ΓΕΩΠΟΝΩΝ (ΗΡΑΚΛΕΙΟ)","ΤΕΙ ΚΡΗΤΗΣ"
"ΤΕΧΝΟΛΟΓΩΝ ΓΕΩΠΟΝΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΤΕΧΝΟΛΟΓΩΝ ΓΕΩΠΟΝΩΝ (ΚΑΛΑΜΑΤΑ))","ΤΕΙ ΠΕΛ/ΝΗΣΟΥ"
"ΤΕΧΝΟΛΟΓΩΝ ΓΕΩΠΟΝΩΝ (ΛΑΡΙΣΑ)","ΤΕΙ ΘΕΣΣΑΛΙΑΣ"
"ΤΕΧΝΟΛΟΓΩΝ ΓΕΩΠΟΝΩΝ (ΦΛΩΡΙΝΑ)","ΤΕΙ ΔΥΤ. ΜΑΚ."
"ΤΕΧΝΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΤΕ (ΖΑΚΥΝΘΟΣ) - ΣΥΝΤΗΡΗΣΗΣ ΠΟΛΙΤΙΣΜΙΚΗΣ ΚΛΗΡΟΝΟΜΙΑΣ ΤΕ","ΤΕΙ ΙΟΝΙΩΝ"
"ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ (ΑΙΓΙΟ)","ΤΕΙ ΔΥΤ.ΕΛΛΑΔΑΣ"
"ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ (ΛΑΜΙΑ)","ΤΕΙ ΣΤ.ΕΛΛΑΔΑΣ"
