"school","university"
"ΘΕΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΘΕΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΘΕΩΡΙΑΣ ΚΑΙ ΙΣΤΟΡΙΑΣ ΤΗΣ ΤΕΧΝΗΣ (ΑΘΗΝΑ)","Α.Σ.Κ.Τ."
"ΙΣΠΑΝΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΙΣΤΟΡΙΑΣ & ΑΡΧΑΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΙΣΤΟΡΙΑΣ & ΑΡΧΑΙΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΙΣΤΟΡΙΑΣ & ΑΡΧΑΙΟΛΟΓΙΑΣ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΙΣΤΟΡΙΑΣ & ΑΡΧΑΙΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΙΣΤΟΡΙΑΣ & ΕΘΝΟΛΟΓΙΑΣ (ΚΟΜΟΤΗΝΗ)","ΔΠΘ"
"ΙΣΤΟΡΙΑΣ (ΚΕΡΚΥΡΑ)","ΙΟΝΙΟ ΠΑΝ/ΜΙΟ"
"ΙΣΤΟΡΙΑΣ, ΑΡΧΑΙΟΛΟΓΙΑΣ & ΔΙΑΧΕΙΡΙΣΗΣ ΠΟΛΙΤΙΣΜΙΚΩΝ ΑΓΑΘΩΝ (ΚΑΛΑΜΑΤΑ)","ΠΑΝ.ΠΕΛ/ΝΗΣΟΥ"
"ΙΣΤΟΡΙΑΣ, ΑΡΧΑΙΟΛΟΓΙΑΣ & ΚΟΙΝΩΝΙΚΗΣ ΑΝΘΡΩΠΟΛΟΓΙΑΣ (ΒΟΛΟΣ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΙΤΑΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΙΤΑΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΚΙΝΗΜΑΤΟΓΡΑΦΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΚΟΙΝΩΝΙΚΗΣ & ΕΚΠΑΙΔΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΚΟΡΙΝΘΟΣ)","ΠΑΝ.ΠΕΛ/ΝΗΣΟΥ"
"ΚΟΙΝΩΝΙΚΗΣ ΑΝΘΡΩΠΟΛΟΓΙΑΣ & ΙΣΤΟΡΙΑΣ (ΜΥΤΙΛΗΝΗ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΚΟΙΝΩΝΙΚΗΣ ΑΝΘΡΩΠΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΠΑΝΤΕΙΟ"
"ΚΟΙΝΩΝΙΚΗΣ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ (ΚΟΜΟΤΗΝΗ) -ΚΟΙΝΩΝΙΚΗΣ ΔΙΟΙΚΗΣΗΣ","ΔΠΘ"
"ΚΟΙΝΩΝΙΚΗΣ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ (ΚΟΜΟΤΗΝΗ) -ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ","ΔΠΘ"
"ΚΟΙΝΩΝΙΚΗΣ ΘΕΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΚΟΙΝΩΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΑΘΗΝΑ)","ΠΑΝΤΕΙΟ"
"ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΠΑΝΤΕΙΟ"
"ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΜΥΤΙΛΗΝΗ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΜΕΘΟΔΟΛΟΓΙΑΣ, ΙΣΤΟΡΙΑΣ & ΘΕΩΡΙΑΣ ΤΗΣ ΕΠΙΣΤΗΜΗΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΜΕΣΟΓΕΙΑΚΩΝ ΣΠΟΥΔΩΝ (ΡΟΔΟΣ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΜΟΥΣΙΚΗΣ ΕΠΙΣΤΗΜΗΣ & ΤΕΧΝΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΠΑΝ.ΜΑΚΕΔ."
"ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΚΕΡΚΥΡΑ)","ΙΟΝΙΟ ΠΑΝ/ΜΙΟ"
"ΝΟΜΙΚΗΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΝΟΜΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΝΟΜΙΚΗΣ (ΚΟΜΟΤΗΝΗ)","ΔΠΘ"
"ΞΕΝΩΝ ΓΛΩΣΣΩΝ ΜΕΤΑΦΡΑΣΗΣ ΚΑΙ ΔΙΕΡΜΗΝΕΙΑΣ (ΚΕΡΚΥΡΑ)","ΙΟΝΙΟ ΠΑΝ/ΜΙΟ"
"ΠΛΑΣΤΙΚΩΝ ΤΕΧΝΩΝ & ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΤΕΧΝΗΣ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΠΟΙΜΑΝΤΙΚΗΣ & ΚΟΙΝΩΝΙΚΗΣ ΘΕΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ & ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ & ΙΣΤΟΡΙΑΣ (ΑΘΗΝΑ)","ΠΑΝΤΕΙΟ"
"ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ (ΡΕΘΥΜΝΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΔΙΕΘΝΩΝ ΣΧΕΣΕΩΝ (ΚΟΡΙΝΘΟΣ)","ΠΑΝ.ΠΕΛ/ΝΗΣΟΥ"
"ΠΟΛΙΤΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΠΟΛΙΤΙΣΜΙΚΗΣ ΤΕΧΝΟΛΟΓΙΑΣ & ΕΠΙΚΟΙΝΩΝΙΑΣ (ΜΥΤΙΛΗΝΗ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΣΛΑΒΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΤΕΧΝΩΝ ΗΧΟΥ & ΕΙΚΟΝΑΣ (ΚΕΡΚΥΡΑ)","ΙΟΝΙΟ ΠΑΝ/ΜΙΟ"
"ΤΟΥΡΚΙΚΩΝ ΣΠΟΥΔΩΝ ΚΑΙ ΣΥΓΧΡΟΝΩΝ ΑΣΙΑΤΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΦΙΛΟΛΟΓΙΑΣ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΦΙΛΟΛΟΓΙΑΣ (ΚΑΛΑΜΑΤΑ)","ΠΑΝ.ΠΕΛ/ΝΗΣΟΥ"
"ΦΙΛΟΛΟΓΙΑΣ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΦΙΛΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΦΙΛΟΣΟΦΙΑΣ - ΠΑΙΔΑΓΩΓΙΚΗΣ & ΨΥΧΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΦΙΛΟΣΟΦΙΑΣ - ΠΑΙΔΑΓΩΓΙΚΗΣ & ΨΥΧΟΛΟΓΙΑΣ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΦΙΛΟΣΟΦΙΑΣ & ΠΑΙΔΑΓΩΓΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΦΙΛΟΣΟΦΙΑΣ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΦΙΛΟΣΟΦΙΚΩΝ & ΚΟΙΝΩΝΙΚΩΝ ΣΠΟΥΔΩΝ (ΡΕΘΥΜΝΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΨΥΧΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - ΕΚΠΑ","ΕΚΠΑ"
"ΨΥΧΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - ΠΑΝΤΕΙΟ","ΠΑΝΤΕΙΟ"
"ΨΥΧΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΨΥΧΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
,
"ΣΤΡΑΤΙΩΤΙΚΕΣ ΣΧΟΛΕΣ","  "
"ΣΤΡΑΤΟΛΟΓΙΚΟ - ΣΤΡΑΤΙΩΤ.ΝΟΜ.ΣΥΜΒ. (ΣΣΑΣ) ΘΕΣ/ΝΙΚΗ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΨΥΧΟΛΟΓΩΝ (ΣΣΑΣ) ΘΕΣ/ΝΙΚΗ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
,
"ΑΝΩΤΑΤΕΣ ΕΚΚΛΗΣΙΑΣΤΙΚΕΣ ΑΚΑΔΗΜΙΕΣ","  "
"ΠΡΟΓΡΑΜΜΑ ΕΚΚΛΗΣΙΑΣΤΙΚΗΣ ΜΟΥΣΙΚΗΣ ΚΑΙ ΨΑΛΤΙΚΗΣ ΒΕΛΛΑΣ ΙΩΑΝΝΙΝΩΝ","ΑΕΑ ΙΩΑΝ"
"ΠΡΟΓΡΑΜΜΑ ΕΚΚΛΗΣΙΑΣΤΙΚΗΣ ΜΟΥΣΙΚΗΣ ΚΑΙ ΨΑΛΤΙΚΗΣ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ","ΑΕΑ ΚΡΗΤΗΣ"
"ΠΡΟΓΡΑΜΜΑ ΙΕΡΑΤΙΚΩΝ ΣΠΟΥΔΩΝ ΑΘΗΝΑΣ","ΑΕΑ ΑΘΗΝΑΣ"
"ΠΡΟΓΡΑΜΜΑ ΙΕΡΑΤΙΚΩΝ ΣΠΟΥΔΩΝ ΒΕΛΛΑΣ ΙΩΑΝΝΙΝΩΝ","ΑΕΑ ΙΩΑΝ"
"ΠΡΟΓΡΑΜΜΑ ΙΕΡΑΤΙΚΩΝ ΣΠΟΥΔΩΝ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ","ΑΕΑ ΚΡΗΤΗΣ"
"ΠΡΟΓΡΑΜΜΑ ΙΕΡΑΤΙΚΩΝ ΣΠΟΥΔΩΝ ΘΕΣ/ΝΙΚΗΣ","ΑΕΑ ΘΕΣ/ΝΙΚΗΣ"
,
"ΑΣΤΥΝΟΜΙΚΕΣ ΣΧΟΛΕΣ","  "
"ΑΞΙΩΜΑΤΙΚΩΝ ΕΛΛΗΝΙΚΗΣ ΑΣΤΥΝΟΜΙΑΣ","ΑΣΤ.ΣΧΟΛΕΣ"
"ΑΣΤΥΦΥΛΑΚΩΝ","ΑΣΤ.ΣΧΟΛΕΣ"
,
"ΣΧΟΛΕΣ ΠΥΡΟΣΒΕΣΤΙΚΗΣ ΑΚΑΔΗΜΙΑΣ","  "
"ΣΧΟΛΗ ΑΝΘΥΠΟΠΥΡΑΓΩΝ","Σ.Π.Α."
"ΣΧΟΛΗ ΠΥΡΟΣΒΕΣΤΩΝ","Σ.Π.Α."
,
"ΤΕΙ","  "
"ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ & ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ & ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΗΡΑΚΛΕΙΟ)","ΤΕΙ ΚΡΗΤΗΣ"
"ΛΑΙΚΗΣ & ΠΑΡΑΔΟΣΙΑΚΗΣ ΜΟΥΣΙΚΗΣ (ΑΡΤΑ)","ΤΕΙ ΗΠΕΙΡΟΥ"
"ΤΕΧΝΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΤΕ (ΖΑΚΥΝΘΟΣ) - ΣΥΝΤΗΡΗΣΗΣ ΠΟΛΙΤΙΣΜΙΚΗΣ ΚΛΗΡΟΝΟΜΙΑΣ ΤΕ","ΤΕΙ ΙΟΝΙΩΝ"
"ΦΩΤΟΓΡΑΦΙΑΣ & ΟΠΤΙΚΟΑΚΟΥΣΤΙΚΩΝ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
,
"ΑΝΩΤΕΡΕΣ ΣΧΟΛΕΣ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ","  "
"ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΡΗΤΗΣ (ΑΣΤΕΚ)","ΑΣΤΕ"
"ΑΝΩΤΕΡΗ ΣΧΟΛΗ ΤΟΥΡΙΣΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΡΟΔΟΥ (ΑΣΤΕΡ)","ΑΣΤΕ"
